Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
,256799.57710266113,,694.6,547.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,694.6 -> 547.6
,218514.39695739746,,696.6,549.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,696.6 -> 549.6
,6608002.19128418,,698.7,551.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,698.7 -> 551.6
,73306.54525756836,,720.6,573.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,720.6 -> 573.6
,142839.0500640869,,722.6,575.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,722.6 -> 575.6
,581595.5450286865,,724.7,577.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,724.7 -> 577.6
,661318.4060668945,,736.7,547.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,736.7 -> 547.6
,458210.3341369629,,738.7,549.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,738.7 -> 549.6
,936681.3890380859,,740.8,551.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,740.8 -> 551.6
,197613.592086792,,746.8,599.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,746.8 -> 599.6
,112815.34815979004,,748.8,601.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,748.8 -> 601.6
,575742.3650817871,,750.8,603.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,750.8 -> 603.6
,117382.52879333496,,762.7,573.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,762.7 -> 573.6
,1187570.9624938965,,764.7,547.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,764.7 -> 547.6
,281249.958694458,,764.7,575.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,764.7 -> 575.6
,330798.3052215576,,766.7,549.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,766.7 -> 549.6
,1179938.3088684082,,766.7,577.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,766.7 -> 577.6
,772301.3160705566,,768.8,551.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,768.8 -> 551.6
,148250.58953857422,,788.8,599.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,788.8 -> 599.6
,78476.96536254883,,790.7,573.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,790.7 -> 573.6
,195273.79331970215,,790.8,601.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,790.8 -> 601.6
,190308.33401489258,,792.7,575.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,792.7 -> 575.6
,748905.3743591309,,792.8,603.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,792.8 -> 603.6
,686937.4512786865,,794.7,577.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,794.7 -> 577.6
,73669.28526306152,,816.8,599.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,816.8 -> 599.6
,120095.30897521973,,818.8,601.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,818.8 -> 601.6
,401419.16845703125,,820.8,603.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,820.8 -> 603.6
TAG,686913.8111572266,[TG(50:3)]_FA18:1,846.8,547.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,846.8 -> 547.6
TAG,3262575.394958496,"[TG(51:9),TG(50:2)]_FA18:1",848.8,549.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,848.8 -> 549.6
TAG,8906403.698608398,"[TG(51:8),TG(50:1)]_FA18:1",850.8,551.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,850.8 -> 551.6
TAG,721947.4512634277,[TG(52:4)]_FA18:1,872.8,573.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,872.8 -> 573.6
TAG,4364671.80960083,"[TG(53:10),TG(52:3)]_FA18:1",874.8,575.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,874.8 -> 575.6
TAG,18056851.192337036,"[TG(53:9),TG(52:2)]_FA18:1",876.8,577.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,876.8 -> 577.6
TAG,1673117.660369873,[TG(54:5)]_FA18:1,898.8,599.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,898.8 -> 599.6
TAG,3305303.1276550293,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,900.8 -> 601.6
TAG,9339795.192642212,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.6,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,902.8 -> 603.6
,125670.02857971191,,694.6,547.6,DOD93_F4-5xFAD-Cortex_TG18-1_o3on,694.6 -> 547.6
,171977.67218017578,,696.6,549.6,DOD93_F4-5xFAD-Cortex_TG18-1_o3on,696.6 -> 549.6
,6346823.541748047,,698.7,551.6,DOD93_F4-5xFAD-Cortex_TG18-1_o3on,698.7 -> 551.6
,73187.60525512695,,720.6,573.6,DOD93_F4-5xFAD-Cortex_TG18-1_o3on,720.6 -> 573.6
,161161.83168029785,,722.6,575.6,DOD93_F4-5xFAD-Cortex_TG18-1_o3on,722.6 -> 575.6
,1184801.8828125,,724.7,577.6,DOD93_F4-5xFAD-Cortex_TG18-1_o3on,724.7 -> 577.6
,667270.1888427734,,736.7,547.6,DOD93_F4-5xFAD-Cortex_TG18-1_o3on,736.7 -> 547.6
,353015.243270874,,738.7,549.6,DOD93_F4-5xFAD-Cortex_TG18-1_o3on,738.7 -> 549.6
,600759.9008331299,,740.8,551.6,DOD93_F4-5xFAD-Cortex_TG18-1_o3on,740.8 -> 551.6
,803051.2379455566,,746.8,599.6,DOD93_F4-5xFAD-Cortex_TG18-1_o3on,746.8 -> 599.6
,205089.17359924316,,748.8,601.6,DOD93_F4-5xFAD-Cortex_TG18-1_o3on,748.8 -> 601.6
