Lipid,Class,BlankBrain_NA_x,BlankLiver_NA_x,BlankPlasma_NA_x,BlankRetina_NA_x,C-1BMVF_x,C-1BrainF_x,C-1LiverF_x,C-1PlasmaF_x,C-1RetinaF_x,C-2BMVF_x,C-2BrainF_x,C-2LiverF_x,C-2PlasmaF_x,C-2RetinaF_x,C-3BMVF_x,C-3BrainF_x,C-3LiverF_x,C-3PlasmaF_x,C-3RetinaF_x,C-4BMVM_x,C-4BrainM_x,C-4LiverM_x,C-4PlasmaM_x,C-4RetinaM_x,C-5BMVM_x,C-5BrainM_x,C-5LiverM_x,C-5PlasmaM_x,C-5RetinaM_x,C-6BMVM_x,C-6BrainM_x,C-6LiverM_x,C-6PlasmaM_x,C-6RetinaM_x,E-1BMVF_x,E-1BrainF_x,E-1LiverF_x,E-1PlasmaF_x,E-1RetinaF_x,E-2BMVF_x,E-2BrainF_x,E-2LiverF_x,E-2PlasmaF_x,E-2RetinaF_x,E-3BMVF_x,E-3BrainF_x,E-3LiverF_x,E-3PlasmaF_x,E-3RetinaF_x,E-4BMVM_x,E-4BrainM_x,E-4LiverM_x,E-4PlasmaM_x,E-4RetinaM_x,E-5BMVM_x,E-5BrainM_x,E-5LiverM_x,E-5PlasmaM_x,E-5RetinaM_x,E-6BMVM_x,E-6BrainM_x,E-6LiverM_x,E-6PlasmaM_x,E-6RetinaM_x,blankBMV_NA_x,BlankBrain_NA_y,BlankLiver_NA_y,BlankPlasma_NA_y,BlankRetina_NA_y,C-1BMVF_y,C-1BrainF_y,C-1LiverF_y,C-1PlasmaF_y,C-1RetinaF_y,C-2BMVF_y,C-2BrainF_y,C-2LiverF_y,C-2PlasmaF_y,C-2RetinaF_y,C-3BMVF_y,C-3BrainF_y,C-3LiverF_y,C-3PlasmaF_y,C-3RetinaF_y,C-4BMVM_y,C-4BrainM_y,C-4LiverM_y,C-4PlasmaM_y,C-4RetinaM_y,C-5BMVM_y,C-5BrainM_y,C-5LiverM_y,C-5PlasmaM_y,C-5RetinaM_y,C-6BMVM_y,C-6BrainM_y,C-6LiverM_y,C-6PlasmaM_y,C-6RetinaM_y,E-1BMVF_y,E-1BrainF_y,E-1LiverF_y,E-1PlasmaF_y,E-1RetinaF_y,E-2BMVF_y,E-2BrainF_y,E-2LiverF_y,E-2PlasmaF_y,E-2RetinaF_y,E-3BMVF_y,E-3BrainF_y,E-3LiverF_y,E-3PlasmaF_y,E-3RetinaF_y,E-4BMVM_y,E-4BrainM_y,E-4LiverM_y,E-4PlasmaM_y,E-4RetinaM_y,E-5BMVM_y,E-5BrainM_y,E-5LiverM_y,E-5PlasmaM_y,E-5RetinaM_y,E-6BMVM_y,E-6BrainM_y,E-6LiverM_y,E-6PlasmaM_y,E-6RetinaM_y,blankBMV_NA_y,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1125.580078125,1130.7000732421875,1206.5800857543945,1197.3000755310059,1126.0200843811035,1127.0000762939453,1128.7400856018066,1187.8400802612305,1127.1000785827637,1127.8800773620605,1204.1000747680664,1217.3400764465332,1127.860065460205,1156.5400733947754,1128.7200775146484,1129.4000816345215,1132.2800750732422,1129.5000801086426,1172.1200866699219,1125.6200904846191,1178.8200721740723,1197.6800804138184,1131.2600746154785,1168.3800926208496,1125.3800811767578,1127.8600769042969,1167.9000930786133,1126.8000717163086,1144.4400825500488,1127.62007522583,1125.5800743103027,1231.2400932312012,1127.160083770752,1128.6600723266602,1192.0600814819336,1121.980079650879,1160.740077972412,1128.0400772094727,1126.6200790405273,1128.6400756835938,1128.0800704956055,1157.0600814819336,1127.54008102417,1130.700080871582,1158.1800727844238,1125.2800788879395,1204.3400802612305,1166.660068511963,1126.6400680541992,1126.340072631836,1167.240089416504,1177.3000831604004,1197.6000938415527,1126.0600852966309,1124.3800773620605,1128.4800720214844,1235.0800743103027,1125.2400817871094,1126.9400787353516,1121.3800888061523,1132.6600799560547,1124.4800758361816,1135.1800651550293,1129.5400733947754,1124.080078125,1125.580078125,1130.7000732421875,1206.5800857543945,1197.3000755310059,1126.0200843811035,1127.0000762939453,1128.7400856018066,1187.8400802612305,1127.1000785827637,1127.8800773620605,1204.1000747680664,1217.3400764465332,1127.860065460205,1156.5400733947754,1128.7200775146484,1129.4000816345215,1132.2800750732422,1129.5000801086426,1172.1200866699219,1125.6200904846191,1178.8200721740723,1197.6800804138184,1131.2600746154785,1168.3800926208496,1125.3800811767578,1127.8600769042969,1167.9000930786133,1126.8000717163086,1144.4400825500488,1127.62007522583,1125.5800743103027,1231.2400932312012,1127.160083770752,1128.6600723266602,1192.0600814819336,1121.980079650879,1160.740077972412,1128.0400772094727,1126.6200790405273,1128.6400756835938,1128.0800704956055,1157.0600814819336,1127.54008102417,1130.700080871582,1158.1800727844238,1125.2800788879395,1204.3400802612305,1166.660068511963,1126.6400680541992,1126.340072631836,1167.240089416504,1177.3000831604004,1197.6000938415527,1126.0600852966309,1124.3800773620605,1128.4800720214844,1235.0800743103027,1125.2400817871094,1126.9400787353516,1121.3800888061523,1132.6600799560547,1124.4800758361816,1135.1800651550293,1129.5400733947754,1124.080078125,1125.580078125,,, vs ,65,65,BlankBrain_NA
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1126.0800819396973,1131.1600723266602,1125.7400741577148,1129.0400733947754,1177.220085144043,1162.3800811767578,1129.0800895690918,1125.4800720214844,1126.240077972412,1128.580078125,1126.660083770752,1131.5000762939453,1128.3600730895996,1124.0000801086426,1129.4600677490234,1130.1000709533691,1153.8200759887695,1210.9600868225098,1128.5600891113281,1125.3200759887695,1129.2000846862793,1129.1200790405273,1130.8200759887695,1126.3600807189941,1153.3200874328613,1127.6000785827637,1129.5800704956055,1127.0400886535645,1126.4600791931152,1152.7400741577148,1199.9000816345215,1168.0800743103027,1126.340072631836,1159.6800842285156,1124.7200736999512,1121.3000869750977,1130.3800621032715,1128.4800758361816,1126.1000785827637,1128.4400749206543,1173.12007522583,1127.9400825500488,1207.5400848388672,1130.6000747680664,1128.3000679016113,1126.2000694274902,1126.6000785827637,1129.1800689697266,1125.5400619506836,1125.0800819396973,1203.8000831604004,1126.920078277588,1237.7400932312012,1126.0600662231445,1187.2600860595703,1128.2800750732422,1124.9600715637207,1168.3600883483887,1125.5600814819336,1121.5600814819336,1183.4400749206543,1124.9800758361816,1125.940086364746,1123.4800720214844,1123.9000816345215,1126.0800819396973,1131.1600723266602,1125.7400741577148,1129.0400733947754,1177.220085144043,1162.3800811767578,1129.0800895690918,1125.4800720214844,1126.240077972412,1128.580078125,1126.660083770752,1131.5000762939453,1128.3600730895996,1124.0000801086426,1129.4600677490234,1130.1000709533691,1153.8200759887695,1210.9600868225098,1128.5600891113281,1125.3200759887695,1129.2000846862793,1129.1200790405273,1130.8200759887695,1126.3600807189941,1153.3200874328613,1127.6000785827637,1129.5800704956055,1127.0400886535645,1126.4600791931152,1152.7400741577148,1199.9000816345215,1168.0800743103027,1126.340072631836,1159.6800842285156,1124.7200736999512,1121.3000869750977,1130.3800621032715,1128.4800758361816,1126.1000785827637,1128.4400749206543,1173.12007522583,1127.9400825500488,1207.5400848388672,1130.6000747680664,1128.3000679016113,1126.2000694274902,1126.6000785827637,1129.1800689697266,1125.5400619506836,1125.0800819396973,1203.8000831604004,1126.920078277588,1237.7400932312012,1126.0600662231445,1187.2600860595703,1128.2800750732422,1124.9600715637207,1168.3600883483887,1125.5600814819336,1121.5600814819336,1183.4400749206543,1124.9800758361816,1125.940086364746,1123.4800720214844,1123.9000816345215,1126.0800819396973,,, vs ,65,65,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1126.1400833129883,1131.020076751709,1126.2400741577148,1128.460075378418,1126.5800819396973,1126.3600730895996,1129.1400756835938,1125.1400909423828,1140.500087738037,1127.7200775146484,1126.7800788879395,1131.3200759887695,1127.5200843811035,1171.280086517334,1128.6000709533691,1130.2000732421875,1131.0000648498535,1222.580078125,1128.200080871582,1126.2600784301758,1129.0200729370117,1128.9600715637207,1213.8200798034668,1126.0000762939453,1125.7800750732422,1127.760066986084,1150.8200759887695,1127.3400650024414,1126.7000694274902,1126.9200820922852,1125.420078277588,1128.420078277588,1126.3600769042969,1129.7200813293457,1186.420093536377,1121.2200927734375,1131.000072479248,1160.4800758361816,1126.3800811767578,1142.100082397461,1128.8600692749023,1127.6000747680664,1153.1800727844238,1130.1000747680664,1128.5200729370117,1125.8800811767578,1127.2600746154785,1129.1200828552246,1126.180076599121,1126.1000862121582,1140.7600784301758,1126.740077972412,1124.4000816345215,1126.720069885254,1125.0400886535645,1128.0400733947754,1141.9800872802734,1177.6600761413574,1181.2000885009766,1121.9800910949707,1131.9200706481934,1124.0800857543945,1125.54008102417,1207.9200820922852,1124.4600830078125,1126.1400833129883,1131.020076751709,1126.2400741577148,1128.460075378418,1126.5800819396973,1126.3600730895996,1129.1400756835938,1125.1400909423828,1140.500087738037,1127.7200775146484,1126.7800788879395,1131.3200759887695,1127.5200843811035,1171.280086517334,1128.6000709533691,1130.2000732421875,1131.0000648498535,1222.580078125,1128.200080871582,1126.2600784301758,1129.0200729370117,1128.9600715637207,1213.8200798034668,1126.0000762939453,1125.7800750732422,1127.760066986084,1150.8200759887695,1127.3400650024414,1126.7000694274902,1126.9200820922852,1125.420078277588,1128.420078277588,1126.3600769042969,1129.7200813293457,1186.420093536377,1121.2200927734375,1131.000072479248,1160.4800758361816,1126.3800811767578,1142.100082397461,1128.8600692749023,1127.6000747680664,1153.1800727844238,1130.1000747680664,1128.5200729370117,1125.8800811767578,1127.2600746154785,1129.1200828552246,1126.180076599121,1126.1000862121582,1140.7600784301758,1126.740077972412,1124.4000816345215,1126.720069885254,1125.0400886535645,1128.0400733947754,1141.9800872802734,1177.6600761413574,1181.2000885009766,1121.9800910949707,1131.9200706481934,1124.0800857543945,1125.54008102417,1207.9200820922852,1124.4600830078125,1126.1400833129883,,, vs ,65,65,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1128.12007522583,1130.3800659179688,1126.020076751709,1128.7200660705566,1135.880084991455,1126.9800758361816,1129.3000755310059,1125.3800811767578,1125.6000709533691,1128.6600875854492,1126.9400787353516,1130.4600639343262,1163.5400848388672,1123.7000885009766,1128.7800827026367,1130.0600776672363,1130.5800819396973,1129.1400718688965,1127.9400749206543,1125.3000755310059,1154.1200866699219,1128.2600784301758,1131.6000785827637,1125.6600723266602,1126.000087738037,1126.980079650879,1176.2200775146484,1126.900074005127,1127.080078125,1127.9000816345215,1125.9800910949707,1128.560073852539,1126.7200813293457,1129.9600715637207,1125.1400756835938,1121.6600723266602,1130.9200744628906,1128.200080871582,1126.240077972412,1128.0600776672363,1127.9800720214844,1127.5400733947754,1183.04008102417,1130.62007522583,1128.4800834655762,1126.020076751709,1126.8800811767578,1129.12007522583,1165.160083770752,1125.9200744628906,1125.0800971984863,1127.3800735473633,1124.3600807189941,1125.4600715637207,1124.8200759887695,1128.4800834655762,1125.0400772094727,1154.4400749206543,1126.1000862121582,1121.5800857543945,1132.0200805664062,1124.6800842285156,1125.380084991455,1123.760082244873,1124.520076751709,1128.12007522583,1130.3800659179688,1126.020076751709,1128.7200660705566,1135.880084991455,1126.9800758361816,1129.3000755310059,1125.3800811767578,1125.6000709533691,1128.6600875854492,1126.9400787353516,1130.4600639343262,1163.5400848388672,1123.7000885009766,1128.7800827026367,1130.0600776672363,1130.5800819396973,1129.1400718688965,1127.9400749206543,1125.3000755310059,1154.1200866699219,1128.2600784301758,1131.6000785827637,1125.6600723266602,1126.000087738037,1126.980079650879,1176.2200775146484,1126.900074005127,1127.080078125,1127.9000816345215,1125.9800910949707,1128.560073852539,1126.7200813293457,1129.9600715637207,1125.1400756835938,1121.6600723266602,1130.9200744628906,1128.200080871582,1126.240077972412,1128.0600776672363,1127.9800720214844,1127.5400733947754,1183.04008102417,1130.62007522583,1128.4800834655762,1126.020076751709,1126.8800811767578,1129.12007522583,1165.160083770752,1125.9200744628906,1125.0800971984863,1127.3800735473633,1124.3600807189941,1125.4600715637207,1124.8200759887695,1128.4800834655762,1125.0400772094727,1154.4400749206543,1126.1000862121582,1121.5800857543945,1132.0200805664062,1124.6800842285156,1125.380084991455,1123.760082244873,1124.520076751709,1128.12007522583,,, vs ,65,65,BlankBrain_NA
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1083.3200721740723,1140.5400733947754,1084.0400695800781,1086.9600715637207,1146.320083618164,1085.4000778198242,1160.62007522583,1084.0200805664062,1084.900074005127,1172.420078277588,1084.6600723266602,1089.580078125,1086.2600746154785,1109.960075378418,1129.1800842285156,1127.6000785827637,1089.3200721740723,1086.9600563049316,1087.7600746154785,1083.2600860595703,1086.8800735473633,1125.6000862121582,1089.640064239502,1084.1200790405273,1083.9200706481934,1116.720069885254,1128.9000663757324,1151.1000785827637,1141.8000755310059,1086.200080871582,1083.4400787353516,1086.0400657653809,1084.920066833496,1095.700080871582,1199.600082397461,1156.5400733947754,1089.5800666809082,1147.0200805664062,1238.0200881958008,1195.8400917053223,1086.4600677490234,1085.3600769042969,1120.2600746154785,1143.000072479248,1087.2000770568848,1084.0200729370117,1085.060073852539,1086.8800621032715,1084.0400695800781,1083.9200897216797,1099.7400741577148,1084.8200721740723,1104.0800743103027,1086.880084991455,1082.6600723266602,1085.6800804138184,1082.940071105957,1098.2000732421875,1084.4000663757324,1080.7600708007812,1089.7400703430176,1083.6400756835938,1084.2600708007812,1081.880084991455,1082.12007522583,1083.3200721740723,1140.5400733947754,1084.0400695800781,1086.9600715637207,1146.320083618164,1085.4000778198242,1160.62007522583,1084.0200805664062,1084.900074005127,1172.420078277588,1084.6600723266602,1089.580078125,1086.2600746154785,1109.960075378418,1129.1800842285156,1127.6000785827637,1089.3200721740723,1086.9600563049316,1087.7600746154785,1083.2600860595703,1086.8800735473633,1125.6000862121582,1089.640064239502,1084.1200790405273,1083.9200706481934,1116.720069885254,1128.9000663757324,1151.1000785827637,1141.8000755310059,1086.200080871582,1083.4400787353516,1086.0400657653809,1084.920066833496,1095.700080871582,1199.600082397461,1156.5400733947754,1089.5800666809082,1147.0200805664062,1238.0200881958008,1195.8400917053223,1086.4600677490234,1085.3600769042969,1120.2600746154785,1143.000072479248,1087.2000770568848,1084.0200729370117,1085.060073852539,1086.8800621032715,1084.0400695800781,1083.9200897216797,1099.7400741577148,1084.8200721740723,1104.0800743103027,1086.880084991455,1082.6600723266602,1085.6800804138184,1082.940071105957,1098.2000732421875,1084.4000663757324,1080.7600708007812,1089.7400703430176,1083.6400756835938,1084.2600708007812,1081.880084991455,1082.12007522583,1083.3200721740723,,, vs ,65,65,BlankBrain_NA
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1125.9000854492188,1130.9800758361816,1126.5400695800781,1129.180076599121,1126.3000755310059,1162.500072479248,1128.9800643920898,1163.4400939941406,1127.1600761413574,1127.640079498291,1146.7200775146484,1130.8000717163086,1127.380069732666,1123.5800819396973,1176.0000915527344,1130.4400825500488,1131.2000770568848,1129.7600708007812,1155.6200714111328,1125.3000831604004,1128.5400657653809,1128.640079498291,1131.8600769042969,1160.7200736999512,1125.5800743103027,1127.8000755310059,1150.0200729370117,1126.9000854492188,1127.1600761413574,1127.1800804138184,1125.2800827026367,1128.6800727844238,1156.5400772094727,1129.680076599121,1124.940086364746,1121.8600845336914,1130.4800720214844,1128.0200729370117,1125.8600730895996,1128.180076599121,1128.1600799560547,1127.6800727844238,1126.920078277588,1153.4400672912598,1128.3400764465332,1125.3400840759277,1160.2600936889648,1128.760082244873,1126.3800811767578,1125.4000816345215,1124.9000778198242,1209.7600860595703,1123.880069732666,1125.9800758361816,1156.4000854492188,1128.3800735473633,1124.660083770752,1124.1800727844238,1155.740077972412,1122.0600700378418,1132.1400756835938,1124.7600746154785,1134.4000854492188,1123.4400939941406,1124.7800827026367,1125.9000854492188,1130.9800758361816,1126.5400695800781,1129.180076599121,1126.3000755310059,1162.500072479248,1128.9800643920898,1163.4400939941406,1127.1600761413574,1127.640079498291,1146.7200775146484,1130.8000717163086,1127.380069732666,1123.5800819396973,1176.0000915527344,1130.4400825500488,1131.2000770568848,1129.7600708007812,1155.6200714111328,1125.3000831604004,1128.5400657653809,1128.640079498291,1131.8600769042969,1160.7200736999512,1125.5800743103027,1127.8000755310059,1150.0200729370117,1126.9000854492188,1127.1600761413574,1127.1800804138184,1125.2800827026367,1128.6800727844238,1156.5400772094727,1129.680076599121,1124.940086364746,1121.8600845336914,1130.4800720214844,1128.0200729370117,1125.8600730895996,1128.180076599121,1128.1600799560547,1127.6800727844238,1126.920078277588,1153.4400672912598,1128.3400764465332,1125.3400840759277,1160.2600936889648,1128.760082244873,1126.3800811767578,1125.4000816345215,1124.9000778198242,1209.7600860595703,1123.880069732666,1125.9800758361816,1156.4000854492188,1128.3800735473633,1124.660083770752,1124.1800727844238,1155.740077972412,1122.0600700378418,1132.1400756835938,1124.7600746154785,1134.4000854492188,1123.4400939941406,1124.7800827026367,1125.9000854492188,,, vs ,65,65,BlankBrain_NA
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1184.060073852539,1149.760066986084,1125.8600692749023,1194.060073852539,1126.5200805664062,1126.6600761413574,1172.7000770568848,1207.340087890625,1126.6000900268555,1174.3400802612305,1127.280071258545,1140.6200714111328,1168.4800834655762,1123.820083618164,1128.7200775146484,1158.160083770752,1131.480079650879,1191.5000762939453,1128.9000778198242,1133.0400772094727,1200.2000846862793,1128.4400787353516,1171.2600784301758,1147.1400871276855,1283.280086517334,1126.8800735473633,1130.1000709533691,1126.7600746154785,1127.5200729370117,1128.0800743103027,1126.1400909423828,1128.7200775146484,1134.180088043213,1130.2600784301758,1126.0200805664062,1121.4000778198242,1130.7800750732422,1128.400074005127,1180.2200889587402,1292.8200874328613,1128.62007522583,1127.7000885009766,1127.0600852966309,1130.280071258545,1188.1800727844238,1153.080078125,1127.1400871276855,1155.7800827026367,1126.1600723266602,1125.6600723266602,1125.1800727844238,1181.9000778198242,1123.8200874328613,1126.4400787353516,1124.4400901794434,1127.8400688171387,1124.7800636291504,1125.1400756835938,1126.6000785827637,1122.0800704956055,1190.6400871276855,1146.7600860595703,1175.8000869750977,1123.5400733947754,1175.4200859069824,1184.060073852539,1149.760066986084,1125.8600692749023,1194.060073852539,1126.5200805664062,1126.6600761413574,1172.7000770568848,1207.340087890625,1126.6000900268555,1174.3400802612305,1127.280071258545,1140.6200714111328,1168.4800834655762,1123.820083618164,1128.7200775146484,1158.160083770752,1131.480079650879,1191.5000762939453,1128.9000778198242,1133.0400772094727,1200.2000846862793,1128.4400787353516,1171.2600784301758,1147.1400871276855,1283.280086517334,1126.8800735473633,1130.1000709533691,1126.7600746154785,1127.5200729370117,1128.0800743103027,1126.1400909423828,1128.7200775146484,1134.180088043213,1130.2600784301758,1126.0200805664062,1121.4000778198242,1130.7800750732422,1128.400074005127,1180.2200889587402,1292.8200874328613,1128.62007522583,1127.7000885009766,1127.0600852966309,1130.280071258545,1188.1800727844238,1153.080078125,1127.1400871276855,1155.7800827026367,1126.1600723266602,1125.6600723266602,1125.1800727844238,1181.9000778198242,1123.8200874328613,1126.4400787353516,1124.4400901794434,1127.8400688171387,1124.7800636291504,1125.1400756835938,1126.6000785827637,1122.0800704956055,1190.6400871276855,1146.7600860595703,1175.8000869750977,1123.5400733947754,1175.4200859069824,1184.060073852539,,, vs ,65,65,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1199.3000755310059,1224.5200843811035,1125.5400772094727,1180.9200859069824,1126.780086517334,1126.8600730895996,1129.5000762939453,1125.7800750732422,1127.3000679016113,1127.4800758361816,1127.2200775146484,1214.440071105957,1143.2800827026367,1242.7800827026367,1129.1800804138184,1130.1400718688965,1194.080078125,1196.0800857543945,1188.7000846862793,1160.4800872802734,1143.3200912475586,1145.480079650879,1234.9400901794434,1125.3800773620605,1180.8000869750977,1127.9400749206543,1246.04008102417,1127.3200721740723,1146.8200759887695,1127.580078125,1176.7600860595703,1132.1600875854492,1154.5000801086426,1129.3800773620605,1129.5400772094727,1121.3800735473633,1140.720069885254,1128.1000862121582,1191.3000755310059,1128.8800735473633,1128.1600875854492,1127.5000839233398,1127.3800811767578,1195.1600761413574,1128.980068206787,1134.0000839233398,1153.7000694274902,1157.1200790405273,1125.6000785827637,1177.1600952148438,1125.1600799560547,1127.520076751709,1205.6401100158691,1340.700096130371,1163.180076599121,1259.460090637207,1158.500087738037,1194.920093536377,1126.680076599121,1153.5000801086426,1131.980079650879,1144.54008102417,1125.7600746154785,1167.600082397461,1227.2200813293457,1199.3000755310059,1224.5200843811035,1125.5400772094727,1180.9200859069824,1126.780086517334,1126.8600730895996,1129.5000762939453,1125.7800750732422,1127.3000679016113,1127.4800758361816,1127.2200775146484,1214.440071105957,1143.2800827026367,1242.7800827026367,1129.1800804138184,1130.1400718688965,1194.080078125,1196.0800857543945,1188.7000846862793,1160.4800872802734,1143.3200912475586,1145.480079650879,1234.9400901794434,1125.3800773620605,1180.8000869750977,1127.9400749206543,1246.04008102417,1127.3200721740723,1146.8200759887695,1127.580078125,1176.7600860595703,1132.1600875854492,1154.5000801086426,1129.3800773620605,1129.5400772094727,1121.3800735473633,1140.720069885254,1128.1000862121582,1191.3000755310059,1128.8800735473633,1128.1600875854492,1127.5000839233398,1127.3800811767578,1195.1600761413574,1128.980068206787,1134.0000839233398,1153.7000694274902,1157.1200790405273,1125.6000785827637,1177.1600952148438,1125.1600799560547,1127.520076751709,1205.6401100158691,1340.700096130371,1163.180076599121,1259.460090637207,1158.500087738037,1194.920093536377,1126.680076599121,1153.5000801086426,1131.980079650879,1144.54008102417,1125.7600746154785,1167.600082397461,1227.2200813293457,1199.3000755310059,,, vs ,65,65,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1125.6400871276855,1131.020076751709,1125.8200759887695,1128.3800735473633,1125.8400764465332,1126.520076751709,1129.3200759887695,1126.0600776672363,1126.3400764465332,1128.3400840759277,1126.5200843811035,1131.5800819396973,1127.6400871276855,1124.000087738037,1128.8600769042969,1129.8600730895996,1131.5800743103027,1145.9000778198242,1127.8600845336914,1125.4200859069824,1129.280071258545,1128.1200675964355,1131.3200874328613,1125.9000854492188,1125.8000755310059,1127.2600708007812,1129.5800819396973,1126.2600898742676,1125.720085144043,1128.1600723266602,1125.440086364746,1127.9200820922852,1126.5400695800781,1129.3800735473633,1125.2200736999512,1121.3200874328613,1131.4600830078125,1127.9800758361816,1127.2400703430176,1128.5000801086426,1183.3200721740723,1177.0400695800781,1127.0800895690918,1130.5000762939453,1128.8400802612305,1125.3600845336914,1127.2600746154785,1128.520076751709,1126.3000793457031,1125.8000793457031,1124.9600791931152,1126.7600746154785,1123.7400970458984,1126.1000747680664,1124.4200744628906,1128.2800788879395,1124.420078277588,1133.2000732421875,1126.1000747680664,1122.240077972412,1131.8800811767578,1124.820083618164,1125.4600715637207,1123.2600746154785,1123.9800834655762,1125.6400871276855,1131.020076751709,1125.8200759887695,1128.3800735473633,1125.8400764465332,1126.520076751709,1129.3200759887695,1126.0600776672363,1126.3400764465332,1128.3400840759277,1126.5200843811035,1131.5800819396973,1127.6400871276855,1124.000087738037,1128.8600769042969,1129.8600730895996,1131.5800743103027,1145.9000778198242,1127.8600845336914,1125.4200859069824,1129.280071258545,1128.1200675964355,1131.3200874328613,1125.9000854492188,1125.8000755310059,1127.2600708007812,1129.5800819396973,1126.2600898742676,1125.720085144043,1128.1600723266602,1125.440086364746,1127.9200820922852,1126.5400695800781,1129.3800735473633,1125.2200736999512,1121.3200874328613,1131.4600830078125,1127.9800758361816,1127.2400703430176,1128.5000801086426,1183.3200721740723,1177.0400695800781,1127.0800895690918,1130.5000762939453,1128.8400802612305,1125.3600845336914,1127.2600746154785,1128.520076751709,1126.3000793457031,1125.8000793457031,1124.9600791931152,1126.7600746154785,1123.7400970458984,1126.1000747680664,1124.4200744628906,1128.2800788879395,1124.420078277588,1133.2000732421875,1126.1000747680664,1122.240077972412,1131.8800811767578,1124.820083618164,1125.4600715637207,1123.2600746154785,1123.9800834655762,1125.6400871276855,,, vs ,65,65,BlankBrain_NA
CAR,CAR,2588.7201652526855,3161.8202018737793,2805.740177154541,3060.260223388672,2819.8002014160156,3006.0402069091797,3090.4802207946777,2770.080207824707,2583.5602111816406,3173.440231323242,2701.640167236328,2749.8801918029785,2712.500171661377,3183.6402168273926,2818.1002197265625,2605.360179901123,2712.0802040100098,2876.740177154541,2763.0601921081543,3000.4402084350586,2640.9401931762695,2594.6201782226562,2699.6401748657227,3096.3802223205566,2633.220188140869,2790.120216369629,2478.8601684570312,2393.9001693725586,3065.5202140808105,2737.6601905822754,3324.70023727417,2741.540184020996,2740.600170135498,2750.320156097412,2673.12020111084,2805.4601974487305,2893.5401916503906,3075.4402084350586,2775.360206604004,3053.7802352905273,2757.0001945495605,2889.500217437744,2831.2202110290527,2602.7001762390137,2612.62020111084,2313.840160369873,2460.800178527832,2855.920196533203,2848.9002227783203,2818.4201850891113,2679.300178527832,2762.18017578125,2472.320198059082,2246.040142059326,2630.860179901123,2940.120220184326,2854.3201942443848,2327.9201736450195,3083.800220489502,2832.4801902770996,2954.2202072143555,2673.100185394287,2791.3402252197266,2355.340156555176,2793.380195617676,2588.7201652526855,3161.8202018737793,2805.740177154541,3060.260223388672,2819.8002014160156,3006.0402069091797,3090.4802207946777,2770.080207824707,2583.5602111816406,3173.440231323242,2701.640167236328,2749.8801918029785,2712.500171661377,3183.6402168273926,2818.1002197265625,2605.360179901123,2712.0802040100098,2876.740177154541,2763.0601921081543,3000.4402084350586,2640.9401931762695,2594.6201782226562,2699.6401748657227,3096.3802223205566,2633.220188140869,2790.120216369629,2478.8601684570312,2393.9001693725586,3065.5202140808105,2737.6601905822754,3324.70023727417,2741.540184020996,2740.600170135498,2750.320156097412,2673.12020111084,2805.4601974487305,2893.5401916503906,3075.4402084350586,2775.360206604004,3053.7802352905273,2757.0001945495605,2889.500217437744,2831.2202110290527,2602.7001762390137,2612.62020111084,2313.840160369873,2460.800178527832,2855.920196533203,2848.9002227783203,2818.4201850891113,2679.300178527832,2762.18017578125,2472.320198059082,2246.040142059326,2630.860179901123,2940.120220184326,2854.3201942443848,2327.9201736450195,3083.800220489502,2832.4801902770996,2954.2202072143555,2673.100185394287,2791.3402252197266,2355.340156555176,2793.380195617676,2588.7201652526855,,, vs ,65,65,BlankBrain_NA
