lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cortex10x_01202023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,M5FAD173-WT-Cortex10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023
Cer(d18:2/14:0),2.4933106785100585,10.315464069343605,19.869367685103498,8.291837238403471e-6,0.012104195089915303,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,3416852.9455070496,184679.39221954343,320432.4026184082,269664.724155426,169115.53117370603,1229022.122581482,694974.3241043091,174427.89269256592,152164.46856689453,190887.815322876,40619.60283660889
Lyso_PS(20:2) | PS (20:2)_2,-1.9741419358436338,8.976542529992097,18.594189521449152,1.6171269325204145e-5,0.012104195089915303,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,PS,73165.14535522461,33538.96241760254,50328.404483795166,89653.12752914429,221433.0333251953,343622.186126709,270398.1398925781,162181.99141311646,1324859.714050293,366582.3260498047,80939.62471008301
Lyso_PS(20:2) | PS (20:2),-1.890204968634354,8.929507835177061,17.018274814538017,3.70217744477812e-5,0.01847386544944282,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,PS,71950.42471313477,35755.76300048828,50276.98205566406,92326.08652114868,222367.57165527344,341049.82904052734,272683.3405761719,53945.304470062256,1309739.403869629,406250.045715332,78611.82608032227
Cer(d18:2/22:0),2.1981283867568884,13.197445127227283,16.029100086698797,6.237635275973031e-5,0.023344350020329068,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,21876463.47729492,1801188.6511230469,2145063.265625,2192631.454345703,1214662.7524414062,11023782.084228516,5911809.000732422,1038344.095703125,2183185.178466797,1487201.7111816406,284826.11853027344
"(11Z,14Z)-eicosadienoylcarnitine",-0.00489983126208915,11.444455923947157,1.02385241916636e-4,0.9919266955371503,0.9994260046840004,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1464825.83203125,1429124.1762695312,1350856.4809570312,1445031.9301757812,1431788.9677734375,1357653.3920898438,1422254.4301757812,1332756.2084960938,1313436.7885742188,1536662.2856445312,1833013.6752929688
(11Z)-eicoseneoylcarnitine,0.014128707189157564,11.455327957477238,8.498011829942698e-4,0.9767438821272552,0.9994260046840004,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1450974.412109375,1461574.3852539062,1395572.740234375,1446175.0439453125,1457662.7182617188,1408961.5532226562,1469500.5795898438,1300758.2841796875,1356376.1943359375,1553075.8388671875,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",0.0352943640265558,11.436331273614185,0.005292579098750139,0.9420049688995996,0.9994260046840004,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1547859.026428223,1420361.1004638672,1281745.7750854492,1384342.3704833984,1508125.2795410156,1349872.0334472656,1401085.4095458984,1284612.1057128906,1277668.0494384766,1509455.984741211,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.15161220011272472,12.085070646084834,0.09933119452034589,0.7526337076324516,0.9994260046840004,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,2341072.076904297,2184246.087890625,2205746.576171875,2281951.5776367188,2470854.001464844,2018780.2897949216,2132253.7890625,3004035.1204833984,2011026.9294433596,2188599.0122070312,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",0.8240042434079222,15.937963947077536,2.6587666339937197,0.1029805585774454,0.9994260046840004,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,75825428.853515625,29948597.337890625,26648913.84375,29749622.64453125,16632944.549316406,65346110.588378906,40969587.21484375,15439015.444335938,37982357.49316406,18655737.47460937,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.011021874366818955,11.254952736624437,5.173066606403154e-4,0.9818541776819123,0.9994260046840004,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1355693.1580810547,1260946.1431884766,1137990.1825561523,1244091.2459716797,1271184.7647705078,1143505.6591796875,1216621.2817382812,1148186.4895019531,1091271.1774902344,1370722.953857422,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",0.004332837789613674,11.797016335692764,7.999115041457117e-5,0.9928639934016313,0.9994260046840004,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1808904.2744140625,1770713.409423828,1717515.307861328,1820135.4990234373,1811327.671875,1667394.3842773438,1873401.7072753904,1685194.9013671875,1660596.78125,1881966.8132324216,2578376.07409668
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.11264961045482536,14.836275495639615,0.054648815667788675,0.8151628720190234,0.9994260046840004,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,10508922.293945312,16470506.173828123,19040901.25390625,17918375.471679688,19527801.96728516,19669121.095703125,14634731.657226562,24808766.91748047,19723779.49658203,7436995.044921875,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.03669512677630674,13.578649634762115,0.005759201344018194,0.9395070884810163,0.9994260046840004,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,4689957.828857422,6556788.756103516,7579394.700439453,7210002.552490234,7847061.452392578,7985043.280273437,6411734.287353516,8561014.840332031,7636011.399658203,4199385.319580078,2817110.0759277344
