Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID
,694.6,547.6,256799.57710266113,694.6 -> 547.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,696.6,549.6,218514.39695739746,696.6 -> 549.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,698.7,551.6,6608002.19128418,698.7 -> 551.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,720.6,573.6,73306.54525756836,720.6 -> 573.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,722.6,575.6,142839.0500640869,722.6 -> 575.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,724.7,577.6,581595.5450286865,724.7 -> 577.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,736.7,547.6,661318.4060668945,736.7 -> 547.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,738.7,549.6,458210.3341369629,738.7 -> 549.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,740.8,551.6,936681.3890380859,740.8 -> 551.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,746.8,599.6,197613.592086792,746.8 -> 599.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,748.8,601.6,112815.34815979004,748.8 -> 601.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,750.8,603.6,575742.3650817871,750.8 -> 603.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,762.7,573.6,117382.52879333496,762.7 -> 573.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,764.7,547.6,1187570.9624938965,764.7 -> 547.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,764.7,575.6,281249.958694458,764.7 -> 575.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,766.7,549.6,330798.3052215576,766.7 -> 549.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,766.7,577.6,1179938.3088684082,766.7 -> 577.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,768.8,551.6,772301.3160705566,768.8 -> 551.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,788.8,599.6,148250.58953857422,788.8 -> 599.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,790.7,573.6,78476.96536254883,790.7 -> 573.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,790.8,601.6,195273.79331970215,790.8 -> 601.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,792.7,575.6,190308.33401489258,792.7 -> 575.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,792.8,603.6,748905.3743591309,792.8 -> 603.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,794.7,577.6,686937.4512786865,794.7 -> 577.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,816.8,599.6,73669.28526306152,816.8 -> 599.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,818.8,601.6,120095.30897521973,818.8 -> 601.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
,820.8,603.6,401419.16845703125,820.8 -> 603.6,,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
[TG(50:3)]_FA18:1,846.8,547.6,686913.8111572266,846.8 -> 547.6,TAG,DOD93_F4-5xFAD-Cereb_TG18-1_o3on
